11739	UBERON:0001893
11708	UBERON:0001630
11581	UBERON:0006914
11581	UBERON:0003027
11543	CL:0002092
11536	UBERON:0003881
11513	UBERON:0001976
11462	UBERON:0002384
11423	CL:0000015
11373	UBERON:0004801
11226	UBERON:0013540
11153	UBERON:0000074
11120	UBERON:0001154
11033	CL:0000842
11002	CL:0000169
10958	UBERON:0002073
10497	UBERON:0002385
10442	UBERON:0004167
10427	UBERON:0001135
10426	UBERON:0002264
10404	UBERON:0001103
10403	UBERON:0004797
10349	UBERON:0006919
10336	UBERON:0002000
10325	UBERON:0002127
10286	UBERON:0001259
10259	UBERON:0001509
10190	UBERON:0006922
10105	UBERON:0003911
9978	UBERON:0002870
9947	UBERON:0008266
9405	UBERON:0000977
7975	UBERON:0001017
7967	UBERON:0001159
7965	UBERON:0013541
7572	UBERON:0004811
7283	UBERON:0002702
7243	UBERON:0002795
7212	UBERON:0005351
6820	UBERON:0000970
6421	UBERON:0014892
5536	UBERON:0004262
4531	UBERON:0000966
2739	UBERON:0001474
2687	UBERON:0001728
2002	UBERON:0001021
1522	UBERON:0016525
1390	UBERON:0001637
688	UBERON:0000010
586	UBERON:0002129
552	UBERON:0000965
299	UBERON:0002018
297	UBERON:0001301
238	UBERON:0001905
196	UBERON:0001776
185	UBERON:0004904
124	UBERON:0001844
123	UBERON:0001769
118	UBERON:0001638
88	UBERON:0002110
70	UBERON:0000407
62	UBERON:0005969
62	UBERON:0002116
53	UBERON:0001737
50	UBERON:0000310
44	UBERON:0002331
37	UBERON:0001052
23	UBERON:0001003
20	UBERON:0001817
17	UBERON:0005448
16	UBERON:0007811
11	UBERON:0001690
11	UBERON:0001051
4	UBERON:0000369
3	UBERON:0007277
2	UBERON:0004362
2	UBERON:0001287
1	Anatomical
