UBERON:0007616	20494
UBERON:0001507	20833
UBERON:0000922	12487
UBERON:0000007	59146
UBERON:0013540	11226
UBERON:0002106	59147
UBERON:0001949	20038
UBERON:0001509	10259
UBERON:0013541	7965
UBERON:0005030	19089
UBERON:0002107	59146
UBERON:0001737	53
UBERON:0002108	20919
UBERON:0002336	59142
UBERON:0001965	20780
UBERON:0001966	20763
UBERON:0000467	22417
UBERON:0000468	59145
UBERON:0003379	15199
CL:0002092	11543
UBERON:0002795	7243
UBERON:0002581	20803
UBERON:0002127	10325
UBERON:0001295	20839
UBERON:0000029	59141
UBERON:0001296	59144
UBERON:0000945	59145
UBERON:0000043	18996
CL:0002328	20833
UBERON:0002129	586
UBERON:0001103	10404
UBERON:0000044	19257
CL:0000169	11002
UBERON:0014892	6421
UBERON:0002370	20384
UBERON:0000947	20739
UBERON:0002371	20989
UBERON:0002358	20704
UBERON:0001987	59157
UBERON:0000948	59148
UBERON:0002372	20833
UBERON:0006631	59087
UBERON:0001120	59087
UBERON:0001776	196
UBERON:0000310	50
UBERON:0000965	552
UBERON:0004720	21687
UBERON:0000966	4531
UBERON:0035833	59087
UBERON:0001812	19850
UBERON:0004262	5536
UBERON:0008948	20833
UBERON:0003911	10105
UBERON:0008949	16104
UBERON:0004263	15231
UBERON:0004511	19055
UBERON:0000081	20859
UBERON:0007023	20326
UBERON:0000082	59152
UBERON:0001817	20
UBERON:0003454	59087
UBERON:0000317	100723
UBERON:0002870	9978
UBERON:0001831	19041
CL:0000015	11423
UBERON:0000988	18611
UBERON:0002418	19268
UBERON:0003244	17151
UBERON:0002185	20688
UBERON:0000989	18966
UBERON:0001621	138791
UBERON:0001160	59143
CL:0000019	18180
UBERON:0002661	21003
UBERON:0001161	59087
UBERON:0004533	59087
UBERON:0001162	18686
UBERON:0004534	59087
UBERON:0002436	19650
UBERON:0001377	21743
UBERON:0006922	10190
UBERON:0002450	20767
UBERON:0001379	21035
UBERON:0009834	59147
UBERON:0001166	19003
UBERON:0009835	59094
UBERON:0005363	18770
UBERON:0000355	18780
UBERON:0007277	3
UBERON:0002240	21513
UBERON:0002702	7283
UBERON:0001870	118235
UBERON:0001416	59087
UBERON:0004801	11373
UBERON:0001871	59147
UBERON:0003729	41551
UBERON:0001872	20833
UBERON:0009853	59087
UBERON:0006469	59087
UBERON:0002030	18923
UBERON:0001873	59148
UBERON:0002018	299
UBERON:0006483	19867
UBERON:0004804	20567
UBERON:0002245	118231
UBERON:0002031	11929
UBERON:0001874	59138
UBERON:0000160	59087
UBERON:0001875	20085
UBERON:0005384	20745
UBERON:0001876	59145
UBERON:0007318	18775
UBERON:0001890	20801
UBERON:0004360	19283
UBERON:0002476	17924
UBERON:0001911	21041
UBERON:0001891	20533
UBERON:0007106	19415
UBERON:0002477	20833
UBERON:0004362	2
UBERON:0002264	10426
UBERON:0002037	59147
UBERON:0001893	11739
UBERON:0001225	59144
UBERON:0002038	59146
UBERON:0000167	19185
UBERON:0013473	59087
UBERON:0001013	59144
UBERON:0007811	16
UBERON:0002728	20833
UBERON:0001896	19044
UBERON:0001897	19719
UBERON:0001898	59142
CL:0000115	18150
UBERON:0001017	7975
UBERON:0000399	20459
UBERON:0001474	2739
UBERON:0002073	10958
UBERON:0007371	18844
UBERON:0001950	20833
UBERON:0001723	18836
UBERON:0001476	20868
UBERON:0000010	688
UBERON:0001951	18958
UBERON:0000451	59147
UBERON:0001511	59087
UBERON:0001264	21688
UBERON:0005448	17
UBERON:0001051	11
UBERON:0002110	88
UBERON:0001052	37
UBERON:0001954	59147
UBERON:0011876	18586
UBERON:0008188	18159
UBERON:0001728	2687
UBERON:0000014	21369
UBERON:0001301	297
UBERON:0002113	59147
UBERON:0001515	118174
UBERON:0006566	16558
UBERON:0012249	59087
UBERON:0002114	20854
CL:0000842	11033
UBERON:0002115	20552
UBERON:0000458	59087
UBERON:0002116	62
UBERON:0001304	19179
UBERON:0010414	59142
UBERON:0000473	59154
UBERON:0004904	185
UBERON:0002345	59087
UBERON:0002118	59087
UBERON:0002098	59087
UBERON:0000474	20821
UBERON:0001287	2
UBERON:0016525	1522
UBERON:0002119	59087
UBERON:0013554	18900
UBERON:0001976	11513
UBERON:0035805	59087
UBERON:0002349	20338
UBERON:0001323	59087
UBERON:0001765	20123
CL:0002336	17727
UBERON:0000955	59155
UBERON:0001554	14965
UBERON:0000956	21144
UBERON:0000970	6820
UBERON:0002400	19375
UBERON:0002367	59154
UBERON:0001782	19393
UBERON:0001769	123
UBERON:0001114	59087
