UBERON:0000002	"uterine cervix"
UBERON:0000006	"islet of Langerhans"
UBERON:0000007	"pituitary gland"
UBERON:0000010	"peripheral nervous system"
UBERON:0000014	"zone of skin"
UBERON:0000029	"lymph node"
UBERON:0000043	"tendon"
UBERON:0000044	"dorsal root ganglion"
UBERON:0000057	"urethra"
UBERON:0000059	"large intestine"
UBERON:0000074	"renal glomerulus"
UBERON:0000081	"metanephros"
UBERON:0000082	"adult mammalian kidney"
UBERON:0000160	"intestine"
UBERON:0000167	"oral cavity"
UBERON:0000173	"amniotic fluid"
UBERON:0000178	"blood"
UBERON:0000310	"breast"
UBERON:0000317	"colonic mucosa"
UBERON:0000355	"pharyngeal mucosa"
UBERON:0000362	"renal medulla"
UBERON:0000369	"corpus striatum"
UBERON:0000399	"jejunal mucosa"
UBERON:0000407	"sympathetic trunk"
UBERON:0000451	"prefrontal cortex"
UBERON:0000458	"endocervix"
UBERON:0000467	"anatomical system"
UBERON:0000468	"multi-cellular organism"
UBERON:0000473	"testis"
UBERON:0000474	"female reproductive system"
UBERON:0000922	"embryo"
UBERON:0000945	"stomach"
UBERON:0000947	"aorta"
UBERON:0000948	"heart"
UBERON:0000955	"brain"
UBERON:0000956	"cerebral cortex"
UBERON:0000965	"lens of camera-type eye"
UBERON:0000966	"retina"
UBERON:0000970	"eye"
UBERON:0000977	"pleura"
UBERON:0000979	"tibia"
UBERON:0000988	"pons"
UBERON:0000989	"penis"
UBERON:0000992	"female gonad"
UBERON:0000995	"uterus"
UBERON:0000996	"vagina"
UBERON:0000997	"mammalian vulva"
UBERON:0000998	"seminal vesicle"
UBERON:0001003	"skin epidermis"
UBERON:0001013	"adipose tissue"
UBERON:0001017	"central nervous system"
UBERON:0001021	"nerve"
UBERON:0001043	"esophagus"
UBERON:0001044	"saliva-secreting gland"
UBERON:0001051	"hypopharynx"
UBERON:0001052	"rectum"
UBERON:0001103	"diaphragm"
UBERON:0001114	"right lobe of liver"
UBERON:0001119	"right lobe of thyroid gland"
UBERON:0001120	"left lobe of thyroid gland"
UBERON:0001134	"skeletal muscle tissue"
UBERON:0001135	"smooth muscle tissue"
UBERON:0001150	"body of pancreas"
UBERON:0001153	"caecum"
UBERON:0001154	"vermiform appendix"
UBERON:0001155	"colon"
UBERON:0001157	"transverse colon"
UBERON:0001159	"sigmoid colon"
UBERON:0001160	"fundus of stomach"
UBERON:0001161	"body of stomach"
UBERON:0001162	"cardia of stomach"
UBERON:0001166	"pylorus"
UBERON:0001199	"mucosa of stomach"
UBERON:0001225	"cortex of kidney"
UBERON:0001231	"nephron tubule"
UBERON:0001233	"right adrenal gland"
UBERON:0001234	"left adrenal gland"
UBERON:0001235	"adrenal cortex"
UBERON:0001255	"urinary bladder"
UBERON:0001259	"mucosa of urinary bladder"
UBERON:0001264	"pancreas"
UBERON:0001287	"proximal convoluted tubule"
UBERON:0001295	"endometrium"
UBERON:0001296	"myometrium"
UBERON:0001301	"epididymis"
UBERON:0001302	"right uterine tube"
UBERON:0001303	"left uterine tube"
UBERON:0001304	"germinal epithelium of ovary"
